Month,Period,Value
Jul,2018-19 (pre-COVID),0.77
Aug,2018-19 (pre-COVID),0.74
Sep,2018-19 (pre-COVID),0.69
Oct,2018-19 (pre-COVID),0.75
Nov,2018-19 (pre-COVID),0.8
Dec,2018-19 (pre-COVID),1.06
Jan,2018-19 (pre-COVID),0.73
Feb,2018-19 (pre-COVID),0.93
Mar,2018-19 (pre-COVID),0.84
Apr,2018-19 (pre-COVID),0.7
May,2018-19 (pre-COVID),0.67
Jun,2018-19 (pre-COVID),0.66
Jul,2021-22,0.02
Aug,2021-22,0.01
Sep,2021-22,0.0
Oct,2021-22,0.0
Nov,2021-22,0.02
Dec,2021-22,0.07
Jan,2021-22,0.06
Feb,2021-22,0.09
Mar,2021-22,0.17
Apr,2021-22,0.24
May,2021-22,0.23
Jun,2021-22,0.28
Jul,2022-23,0.33
Aug,2022-23,0.35
Sep,2022-23,0.37
Oct,2022-23,0.43
Nov,2022-23,0.51
Dec,2022-23,0.65
Jan,2022-23,0.41
Feb,2022-23,0.6
Mar,2022-23,0.61
Apr,2022-23,0.54
May,2022-23,0.51
Jun,2022-23,0.54
