Year,Total_Flights,Flight_Type
2003,10255,Inbound
2004,22718,Inbound
2005,24075,Inbound
2006,69837,Inbound
2007,70669,Inbound
2008,74646,Inbound
2009,78217,Inbound
2010,82864,Inbound
2011,86756,Inbound
2012,87245,Inbound
2013,90366,Inbound
2014,92287,Inbound
2015,90787,Inbound
2016,97424,Inbound
2017,101163,Inbound
2018,105959,Inbound
2019,106482,Inbound
2020,28312,Inbound
2021,13009,Inbound
2022,29854,Inbound
2003,10199,Outbound
2004,22603,Outbound
2005,23831,Outbound
2006,70199,Outbound
2007,70900,Outbound
2008,75071,Outbound
2009,78480,Outbound
2010,83097,Outbound
2011,86709,Outbound
2012,86784,Outbound
2013,90055,Outbound
2014,91983,Outbound
2015,90717,Outbound
2016,97405,Outbound
2017,101113,Outbound
2018,106091,Outbound
2019,106555,Outbound
2020,29099,Outbound
2021,12865,Outbound
2022,29972,Outbound
