Year,Service_Region,All_Flights
2003,Africa,218
2003,Europe,2194
2003,Islands,1253
2003,Middle East,798
2003,N America,1973
2003,NE Asia,3838
2003,New Zealand,5172
2003,S America,192
2003,SE Asia,4816
2004,Africa,431
2004,Europe,4751
2004,Islands,2599
2004,Middle East,2058
2004,N America,4276
2004,NE Asia,8751
2004,New Zealand,11907
2004,S America,388
2004,S Asia,54
2004,SE Asia,10106
2005,Africa,454
2005,Europe,5357
2005,Islands,2906
2005,Middle East,2563
2005,N America,4384
2005,NE Asia,8723
2005,New Zealand,12295
2005,S America,518
2005,S Asia,104
2005,SE Asia,10602
2006,Africa,1460
2006,Europe,13888
2006,Islands,9587
2006,Middle East,8469
2006,N America,13782
2006,NE Asia,25186
2006,New Zealand,35250
2006,S America,1686
2006,S Asia,522
2006,SE Asia,30206
2007,Africa,1485
2007,Europe,12106
2007,Islands,10181
2007,Middle East,8422
2007,N America,14704
2007,NE Asia,25210
2007,New Zealand,33839
2007,S America,1884
2007,S Asia,478
2007,SE Asia,33260
2008,Africa,1489
2008,Europe,11714
2008,Islands,11488
2008,Middle East,8721
2008,N America,13645
2008,NE Asia,25970
2008,New Zealand,35493
2008,S America,2188
2008,S Asia,335
2008,SE Asia,38674
2009,Africa,1465
2009,Europe,11558
2009,Islands,12042
2009,Middle East,11002
2009,N America,13268
2009,NE Asia,22536
2009,New Zealand,37960
2009,S America,2394
2009,S Asia,500
2009,SE Asia,43972
2010,Africa,1815
2010,Europe,11233
2010,Islands,12374
2010,Middle East,13251
2010,N America,13875
2010,NE Asia,23335
2010,New Zealand,38869
2010,S America,2286
2010,S Asia,626
2010,SE Asia,48297
2011,Africa,1805
2011,Europe,11753
2011,Islands,13361
2011,Middle East,13172
2011,N America,14754
2011,NE Asia,25264
2011,New Zealand,39033
2011,S America,2179
2011,S Asia,614
2011,SE Asia,51530
2012,Africa,1712
2012,Europe,8252
2012,Islands,13705
2012,Middle East,14113
2012,N America,13528
2012,NE Asia,28850
2012,New Zealand,39215
2012,S America,2011
2012,S Asia,206
2012,SE Asia,52437
2013,Africa,1737
2013,Europe,6220
2013,Islands,14250
2013,Middle East,16616
2013,N America,12879
2013,NE Asia,29312
2013,New Zealand,40065
2013,S America,1617
2013,S Asia,491
2013,SE Asia,57234
2014,Africa,1700
2014,Europe,4790
2014,Islands,14462
2014,Middle East,16958
2014,N America,12796
2014,NE Asia,26615
2014,New Zealand,40892
2014,S America,1750
2014,S Asia,1418
2014,SE Asia,62889
2015,Africa,1649
2015,Europe,4336
2015,Islands,14937
2015,Middle East,16986
2015,N America,13160
2015,NE Asia,27302
2015,New Zealand,42370
2015,S America,1866
2015,S Asia,978
2015,SE Asia,57920
2016,Africa,1603
2016,Europe,4330
2016,Islands,14405
2016,Middle East,17354
2016,N America,14190
2016,NE Asia,32546
2016,New Zealand,45681
2016,S America,1876
2016,S Asia,730
2016,SE Asia,62114
2017,Africa,1628
2017,Europe,4288
2017,Islands,13877
2017,Middle East,17374
2017,N America,14342
2017,NE Asia,37952
2017,New Zealand,46271
2017,S America,1898
2017,S Asia,855
2017,SE Asia,63791
2018,Africa,1603
2018,Europe,4349
2018,Islands,13947
2018,Middle East,19865
2018,N America,15844
2018,NE Asia,42112
2018,New Zealand,45869
2018,S America,2147
2018,S Asia,1540
2018,SE Asia,64774
2019,Africa,1560
2019,Europe,4331
2019,Islands,15001
2019,Middle East,18049
2019,N America,15635
2019,NE Asia,41084
2019,New Zealand,46910
2019,S America,2190
2019,S Asia,1564
2019,SE Asia,66713
2020,Africa,368
2020,Europe,1119
2020,Islands,3941
2020,Middle East,6670
2020,N America,4623
2020,NE Asia,9360
2020,New Zealand,12373
2020,S America,492
2020,S Asia,593
2020,SE Asia,17872
2021,Europe,230
2021,Islands,1643
2021,Middle East,4323
2021,N America,2514
2021,NE Asia,3461
2021,New Zealand,5103
2021,S America,10
2021,S Asia,609
2021,SE Asia,7981
2022,Africa,310
2022,Europe,2982
2022,Islands,5583
2022,Middle East,6051
2022,N America,5455
2022,NE Asia,2705
2022,New Zealand,10964
2022,S America,420
2022,S Asia,2311
2022,SE Asia,23045
