MonthYear,Arrivals,Departures
Jul-13,1.51,1.3
Aug-13,1.3,1.34
Sep-13,1.33,1.38
Oct-13,1.53,1.23
Nov-13,1.28,1.3
Dec-13,1.42,1.68
Jan-14,1.74,1.47
Feb-14,1.34,1.18
Mar-14,1.28,1.3
Apr-14,1.33,1.41
May-14,1.19,1.27
Jun-14,1.18,1.42
Jul-14,1.59,1.34
Aug-14,1.36,1.43
Sep-14,1.38,1.41
Oct-14,1.57,1.3
Nov-14,1.34,1.36
Dec-14,1.46,1.71
Jan-15,1.78,1.49
Feb-15,1.42,1.24
Mar-15,1.39,1.45
Apr-15,1.37,1.41
May-15,1.22,1.31
Jun-15,1.23,1.46
Jul-15,1.65,1.43
Aug-15,1.42,1.45
Sep-15,1.46,1.48
Oct-15,1.65,1.4
Nov-15,1.42,1.44
Dec-15,1.58,1.85
Jan-16,1.91,1.64
Feb-16,1.56,1.37
Mar-16,1.48,1.54
Apr-16,1.47,1.49
May-16,1.3,1.39
Jun-16,1.33,1.58
Jul-16,1.83,1.57
Aug-16,1.51,1.55
Sep-16,1.59,1.6
Oct-16,1.78,1.5
Nov-16,1.51,1.54
Dec-16,1.72,1.99
Jan-17,2.07,1.78
Feb-17,1.63,1.39
Mar-17,1.52,1.58
Apr-17,1.65,1.71
May-17,1.4,1.49
Jun-17,1.42,1.67
Jul-17,1.91,1.65
Aug-17,1.62,1.66
Sep-17,1.67,1.7
Oct-17,1.88,1.57
Nov-17,1.6,1.64
Dec-17,1.76,2.08
Jan-18,2.13,1.81
Feb-18,1.73,1.52
Mar-18,1.68,1.74
Apr-18,1.67,1.71
May-18,1.48,1.56
Jun-18,1.51,1.79
Jul-18,2.01,1.73
Aug-18,1.72,1.77
Sep-18,1.72,1.76
Oct-18,1.96,1.64
Nov-18,1.67,1.72
Dec-18,1.85,2.18
Jan-19,2.22,1.91
Feb-19,1.79,1.52
Mar-19,1.66,1.68
Apr-19,1.67,1.83
May-19,1.59,1.63
Jun-19,1.56,1.8
Jul-19,2.01,1.76
Aug-19,1.78,1.81
Sep-19,1.75,1.8
Oct-19,1.98,1.68
Nov-19,1.72,1.74
Dec-19,1.89,2.24
Jan-20,2.26,1.97
Feb-20,1.57,1.29
Mar-20,0.92,0.83
Apr-20,0.02,0.06
May-20,0.02,0.03
Jun-20,0.03,0.04
Jul-20,0.02,0.06
Aug-20,0.01,0.06
Sep-20,0.02,0.05
Oct-20,0.02,0.05
Nov-20,0.03,0.04
Dec-20,0.03,0.05
Jan-21,0.03,0.04
Feb-21,0.03,0.03
Mar-21,0.03,0.03
Apr-21,0.05,0.06
May-21,0.11,0.11
Jun-21,0.1,0.1
Jul-21,0.07,0.09
Aug-21,0.03,0.04
Sep-21,0.02,0.03
Oct-21,0.02,0.04
Nov-21,0.07,0.09
Dec-21,0.2,0.23
Jan-22,0.27,0.19
Feb-22,0.27,0.18
Mar-22,0.37,0.34
Apr-22,0.57,0.61
May-22,0.65,0.66
Jun-22,0.73,0.88
Jul-22,1.08,0.97
Aug-22,1.03,0.94
Sep-22,1.07,1.04
Oct-22,1.21,1.01
Nov-22,1.19,1.18
Dec-22,1.26,1.52
Jan-23,1.61,1.38
Feb-23,1.38,1.07
Mar-23,1.34,1.32
Apr-23,1.37,1.43
May-23,1.3,1.36
Jun-23,1.36,1.56
Jul-23,1.74,1.49
Aug-23,1.55,1.52
